precinct,jan,feb,march,april,may,june,july,aug,sept,oct,nov,dec
001,64,44,42,43,47,57,45,52,40,34,30,44
005,68,28,70,42,48,48,53,47,43,61,33,62
006,14,28,19,23,37,26,22,27,29,14,17,23
007,120,105,116,107,105,96,136,89,104,90,113,104
009,109,93,104,113,95,110,106,114,74,102,93,113
010,59,52,74,68,68,78,98,58,72,76,66,53
013,48,55,63,66,40,51,56,60,59,57,52,60
014,49,46,48,35,38,49,62,55,41,28,36,51
017,31,30,40,32,32,29,29,41,29,46,38,33
018,43,50,49,50,58,68,65,55,81,72,65,63
019,83,95,93,80,81,89,110,99,84,94,88,92
020,55,55,56,45,66,51,50,59,53,48,43,58
022,1,1,0,2,1,2,2,1,0,1,1,1
023,272,254,291,255,287,306,263,288,261,271,294,266
024,148,129,156,147,121,117,109,118,151,166,126,120
025,191,153,193,204,200,185,203,188,188,177,174,195
026,71,84,68,102,87,85,80,93,85,110,99,99
028,171,117,153,136,124,122,110,119,122,99,132,125
030,138,121,122,121,120,124,112,107,112,105,110,152
032,318,256,289,312,341,335,316,289,347,266,286,342
033,118,104,126,121,113,119,128,107,123,122,107,121
034,189,175,180,159,181,142,188,163,166,135,153,173
040,539,477,537,505,535,517,566,490,504,531,485,530
041,309,247,296,287,263,264,269,261,241,243,229,251
042,500,459,540,516,503,507,536,573,504,495,490,497
043,665,586,672,604,701,623,705,701,667,677,584,685
044,560,496,574,490,514,526,500,531,486,457,513,613
045,256,208,218,229,233,225,233,235,240,228,253,245
046,624,492,599,600,593,587,646,565,595,593,566,585
047,588,560,615,520,613,605,632,618,610,534,595,546
048,477,393,442,417,428,410,433,467,434,375,415,419
049,316,314,311,320,334,315,303,312,305,336,331,334
050,187,132,173,158,200,173,175,148,157,165,144,180
052,536,456,474,445,498,500,479,453,473,445,482,475
060,257,242,199,247,243,253,306,238,264,247,218,261
061,154,174,178,168,184,172,164,175,173,203,144,217
062,148,127,136,137,157,128,131,161,143,138,171,148
063,137,179,138,179,157,159,187,174,166,158,142,191
066,104,79,91,106,130,102,132,114,106,99,112,108
067,427,334,442,354,421,443,417,400,380,407,378,412
068,106,102,98,91,106,104,112,83,112,101,104,124
069,245,203,205,214,245,227,253,249,244,237,211,248
070,231,206,232,245,234,253,269,256,246,246,242,260
071,203,166,199,189,198,206,157,203,171,154,167,209
072,113,114,130,134,149,132,118,142,136,115,129,116
073,605,546,477,533,548,531,577,542,545,569,490,543
075,773,608,733,740,732,777,765,755,724,681,675,782
076,79,78,84,96,85,93,82,101,75,76,93,109
077,303,257,234,241,264,270,287,262,256,262,266,263
078,52,45,56,50,41,53,63,54,48,53,65,57
079,289,278,252,253,279,278,267,269,267,201,257,257
081,239,198,238,243,250,244,271,263,222,209,223,231
083,224,249,240,235,250,273,285,254,221,221,228,290
084,64,81,72,70,76,54,74,79,77,74,76,87
088,118,99,112,114,129,115,124,122,114,138,147,133
090,178,167,171,154,193,186,156,167,177,180,155,164
094,52,48,63,49,73,66,61,69,64,58,65,49
100,108,72,112,85,100,114,120,127,110,102,93,120
101,247,205,233,214,235,262,252,234,266,244,266,266
102,229,203,218,239,217,246,226,240,220,244,232,240
103,298,287,290,317,386,342,353,364,343,308,311,344
104,214,158,210,186,204,211,233,201,220,214,209,258
105,306,281,329,327,368,355,430,369,325,315,307,324
106,206,200,244,244,243,232,278,252,284,239,223,244
107,187,142,147,149,181,146,164,161,133,167,156,156
108,118,105,144,129,121,121,134,109,116,103,100,130
109,190,174,193,156,233,201,192,223,194,210,195,196
110,175,191,203,162,191,197,206,230,210,204,176,188
111,55,40,57,59,75,51,68,62,57,55,59,62
112,72,73,92,88,90,61,80,92,88,75,72,100
113,324,268,315,294,370,344,363,370,327,282,297,284
114,319,256,288,251,289,269,286,294,283,291,325,301
115,207,187,217,229,300,252,236,222,228,202,206,244
120,344,363,410,369,384,400,425,430,418,391,337,371
121,211,201,247,222,239,238,270,266,247,212,198,231
122,177,154,194,186,189,161,179,153,173,153,162,176
123,98,77,86,85,80,78,97,73,82,74,67,79
Total,17103,15112,16812,16187,17344,16941,17670,17187,16735,16165,15992,17283
