precinct,total_complaints_17,total_complaints_17_per_capita,total_complaints_18,total_complaints_18_per_capita,total_complaints_19,total_complaints_19_per_capita,avg_population,avg_complaints_17_19,avg_median_income,avg_unemployment_rate,avg_white_frac,avg_black_frac,avg_native_frac,avg_asian_frac,avg_single_frac,avg_liveswspouse_frac,avg_liveswunmarried_frac,avg_bachelors_frac,avg_blacks_1990
1.0,504,0.7558601658693141,542,0.8128496228197785,510,0.7648585011772822,66679,0.777856096622125,173781.72727272726,0.0315933530773952,0.7038716765497376,0.037305101056297,0.0012903685995075,0.2077772839067555,0.2288132941306368,0.4146000544179662,0.0622886901493239,0.3951208458663827,615.2
5.0,609,1.1584994673565667,603,1.147085679500837,612,1.1642063612844316,52568,1.1565971693806116,,,,,,,,,,,
6.0,306,0.4917558576800694,279,0.4483656349435927,332,0.53353903513001,62226,0.4912201759178907,133501.0,0.0508771122059026,0.8892367519114157,0.0139401529132612,0.0,0.0482467703664645,0.3819764464925755,0.2859703020993344,0.1244971106722258,0.4483885854934236,1176.0
7.0,1312,2.328098660278591,1285,2.280188093336882,1378,2.445213379469435,56355,2.3511667110283025,36982.0,0.0621931719359272,0.3202110662065817,0.0890855140375139,0.0097208609138146,0.418883175123189,0.2238506609390546,0.3098438067562659,0.0296277578609895,0.2225592289286556,9321.0
9.0,1338,1.7503237706526433,1226,1.603809374305038,1326,1.7346257996153995,76443,1.6962529815243605,90939.0,0.0440644699398339,0.684918018172173,0.0709728412394953,0.0013507347247474,0.1434447308154491,0.3225727089996639,0.2766324530956964,0.0786816956982401,0.4043489922324179,4804.5
10.0,838,1.6699880430450378,822,1.6381028298126745,831,1.6560382622558787,50180,1.6547097117045304,138272.0,0.0360669815371404,0.8055016116438768,0.0443652525576087,0.0014614907205349,0.0878295861779014,0.3951875926559471,0.3038886988254077,0.1120082107423879,0.4127100940081664,3171.0
13.0,737,0.7870568133276378,667,0.7123024348568987,708,0.7560871422469031,93640,0.7518154634771466,132988.0,0.0356025556289931,0.6960118086113741,0.0937726285300507,0.0,0.1644014927867209,0.2887286419665376,0.3787787289971937,0.091542041135306,0.3880541505504314,1363.0
14.0,470,2.275918841702581,538,2.605200716672316,619,2.9974335383274417,20651,2.6261843655674464,103541.66666666669,0.0412592590620276,0.6267104068153365,0.0638555652826618,0.0027251425589313,0.2284145133887385,0.3321951995736988,0.2746827214178957,0.089434333491928,0.3906081952937969,2008.0
17.0,430,0.5434370497687233,410,0.5181609079190153,486,0.6142102469479059,79126,0.5586027348785482,136130.33333333334,0.0274864448005371,0.7646253222871953,0.0244535239304429,0.001618660436674,0.1788410527024337,0.3622636925473977,0.3545455195698479,0.0718863346686912,0.4438984642968418,1538.0
18.0,652,1.2059334886989976,719,1.3298561018015018,782,1.4463803499426628,54066,1.3273899801477207,103792.0,0.0527990834155501,0.6683370697613082,0.0601784693832695,0.0079563936876346,0.1911073014198426,0.3452830642638885,0.3025768111060318,0.0753554844452999,0.3702111225540679,1463.5
19.0,1062,0.5099419472867919,1088,0.5224264017401409,1032,0.4955368075329277,208259,0.5093017188532868,134397.33333333334,0.0179163211615219,0.8472961377147182,0.0187700072262651,0.0028785025544379,0.0845391165813264,0.2853339887306464,0.5091555413188601,0.051348891769143,0.3799571807000089,1725.6666666666667
20.0,642,0.6255846585594014,639,0.6226613657623947,544,0.5300904271905207,102624,0.5927788171707723,132535.0,0.0348548787683996,0.6829296798355311,0.040624310624103,0.0003570990763392,0.2304330857717872,0.3495606390307924,0.4495085862818956,0.0497992015184297,0.381404845382458,3808.0
22.0,13,52.0,13,52.0,13,52.0,25,52.0,,,,,,,,,,,
23.0,3353,4.586490848904331,3308,4.524936393729653,3369,4.608376877410883,73106,4.5732680400149555,33720.0,0.0969936103177173,0.3487023059976796,0.3271674944272809,0.0063744085096398,0.092031337582939,0.2261163032191069,0.2341813776393215,0.0363447559709241,0.177393288335393,31813.0
24.0,1536,1.4427954161187302,1608,1.5104264512492955,1498,1.4071012586887093,106460,1.4534410420189117,117623.5,0.0405279891158171,0.7427166278047216,0.078926754117347,0.0019752774244473,0.0882079579778773,0.2470553965970456,0.4369622439800951,0.0608013975207388,0.3214729277151895,12789.0
25.0,2275,4.799071827866259,2251,4.748444256934922,2228,4.699926168125725,47405,4.749147417642302,29799.0,0.0892315633266662,0.2094984465157567,0.4017143808255659,0.0054371948513093,0.041722148246782,0.2655408245138119,0.1770144805715814,0.0660222366560959,0.1627551410442626,15416.0
26.0,1047,2.1148097277207722,1063,2.147127736931405,1073,2.1673264926880504,49508,2.143087985780076,51938.0,0.0600725012946659,0.3192127777435834,0.3772234874130609,0.0061088200898627,0.0946328552963624,0.1909240638002774,0.2386009015256588,0.0701499653259362,0.2367825403254628,33214.0
28.0,1571,3.5081842745807377,1530,3.4166275875929526,1444,3.224581853911257,44781,3.3831312386949826,59691.0,0.0615988275894672,0.2802384346248542,0.5124011921731243,0.0019178437216534,0.0628223402876765,0.1981716405551323,0.2235103176443311,0.0817793382133748,0.2315300623936471,25127.0
30.0,1401,2.3086429925022656,1444,2.37950070033781,1404,2.313586553514048,60685,2.333910082118041,53660.0,0.0660028994228507,0.314268452321015,0.2802503943879434,0.0045648306649212,0.0417547746114859,0.1486366030549815,0.210181921315992,0.0612616992828491,0.2109949317382768,34025.0
32.0,3649,5.143638465225114,3697,5.2112993713174145,3889,5.481942995686618,70942,5.278960277409715,43629.66666666666,0.1172544795542068,0.1358487935758445,0.6529822464317732,0.0028909309609146,0.0221692492989118,0.2481421349095457,0.1920185192929652,0.0537768649634857,0.1942484295522035,18988.33333333333
33.0,1490,1.936121001065516,1409,1.8308687855713508,1289,1.674939577431846,76958,1.813976454689571,53525.0,0.0744509477527788,0.2905210871009586,0.1911127281931217,0.0071819533647609,0.0457809978802164,0.1256387932013476,0.1817768860960745,0.0520308892001362,0.1977099556225404,23203.0
34.0,1874,1.657497656153261,2004,1.7724788169323027,1784,1.5778953140754628,113062,1.6692905957203419,55725.333333333336,0.0786336764864986,0.3912349274386463,0.113701309509026,0.007490348631072,0.0274484648429159,0.1494684172236419,0.2612753896666287,0.0486085591770483,0.2184569917714026,8189.0
40.0,6149,6.720438921494694,6216,6.793665366077577,6239,6.818802802277671,91497,6.777635696616646,25016.0,0.1295741628228357,0.1524470444835682,0.3178787435353787,0.0113058802757073,0.0060710340178127,0.1728311557122601,0.2017041736118683,0.0651925875588115,0.08092948523885,11645.5
41.0,3300,6.3162730161160665,3160,6.048309918462658,3062,5.860735750105271,52246,6.075106228227998,26124.5,0.1095655324180995,0.111205420638655,0.3735637459420821,0.0057539702377892,0.0036297212877703,0.1396107204837068,0.1970863016284981,0.0826303353745177,0.1041460094952791,12010.5
42.0,5950,7.459692585441689,6120,7.672826659311452,6110,7.660289360848524,79762,7.597602868533888,27917.0,0.1355619308968442,0.1251981837203533,0.4631189533742463,0.0131367494634209,0.0066330877832544,0.1389622084898922,0.2221687420426668,0.0429152563425767,0.0974605597061276,45876.0
43.0,7253,4.21387155622175,7870,4.5723382252123494,7339,4.263836116243129,172122,4.350015299225743,37503.0,0.0923337082821567,0.2451399170301,0.3344318716121098,0.0081639513238745,0.0483747408709173,0.1259601450060916,0.2547524052293071,0.0528342253330352,0.1161786289300653,24162.0
44.0,6027,4.115650671601532,6260,4.274759118006569,6200,4.2337869858851,146441,4.208065591831067,29964.0,0.0869600962622426,0.1392884855894039,0.3617321855028593,0.0035120763660748,0.0152299734857688,0.1864123598901321,0.2298617958295091,0.0585843683935038,0.1236217973990923,23884.0
45.0,2734,2.2626269313846383,2803,2.319730537187689,2721,2.2518682810159474,120833,2.2780752498627583,83333.2,0.0590590949343366,0.5580164133957153,0.1554106530648604,0.0025304595199842,0.0405232751238465,0.1593867978329601,0.3539785848748617,0.0886262215680287,0.1959750916393534,4119.4
46.0,7025,5.47971918876755,7045,5.495319812792512,7131,5.562402496099844,128200,5.5124804992199685,29136.0,0.1298633737644771,0.0954158304371236,0.3360541387243624,0.0056047775221498,0.0148563316853492,0.1366020879862878,0.2184421475441056,0.0536193493654668,0.0985254421659079,36606.0
47.0,6939,4.553926522897607,7036,4.617585677346528,7038,4.618898237232074,152374,4.596803479158736,53010.333333333336,0.0880939369489004,0.26079337113024,0.4992830203690674,0.0061935593306804,0.0386182122808627,0.1531285516940731,0.2836112427304125,0.0517109572378656,0.1608910957892868,23260.33333333333
48.0,5293,6.35673624288425,5110,6.136958662599381,5080,6.100929551077271,83266,6.198208152186967,30911.666666666668,0.1212623440157918,0.1778134281612764,0.327811987614907,0.0046102328657928,0.0183177737869867,0.1406254826133167,0.2355954012544596,0.067993969368044,0.0933729107329257,20318.0
49.0,3456,3.0127623962619428,3831,3.3396680382174493,3804,3.3161308319966527,114712,3.222853755492015,59327.333333333336,0.079337659723351,0.2978906013379045,0.3156079131736798,0.0078924356262929,0.1068337613269584,0.1382276998831085,0.3357109073958659,0.0530061305507097,0.1678790570585195,14477.0
50.0,1819,1.7882422335823829,1992,1.9583169484860403,1828,1.7970900511207235,101720,1.8478830777297155,60835.5,0.0760821644895751,0.4427469882760303,0.1724534215266375,0.0058115242390139,0.039425585955707,0.1877565302293025,0.3585110596334014,0.0605255562306446,0.1855453521562629,11380.25
52.0,5699,4.09096456028771,5716,4.103167823583883,5521,3.963189215186602,139307,4.052440533019399,,,,,,,,,,,
60.0,2731,2.6189608546385625,2975,2.852950766221063,2733,2.6208788047335005,104278,2.697596808531042,32549.0,0.0975313638203156,0.5731848455071514,0.2212686974560541,0.0015722240419259,0.074746151326564,0.1760202645651562,0.3916127216436814,0.0366450886574725,0.2060343291560254,17864.0
61.0,1965,1.2308559616649442,2106,1.3191769237996804,2024,1.2678129600050112,159645,1.272615281823212,59638.5,0.0542774230493426,0.6960963965170529,0.0415516449596842,0.0017396201487859,0.183339310611049,0.1444121207622073,0.4903017011474418,0.0310075125114551,0.2547832908885605,1863.0
62.0,1733,0.9522972178414231,1725,0.9479011545161308,1881,1.0336243893593289,181981,0.9779409205722942,54675.66666666666,0.0628905294427697,0.5384274701796633,0.0263112255742453,0.0031330789384888,0.3170393660898241,0.0966963760061465,0.4808342284685358,0.0393065843967405,0.1991766100114238,1836.0
63.0,1938,1.7837748283415864,1967,1.810467021335346,1914,1.7616847375881304,108646,1.7853088624216877,77596.0,0.0587107873410954,0.3644904857776776,0.5197201858533232,0.0020224726897811,0.0565564568536727,0.1005848689282137,0.4222169609134194,0.0322457709462329,0.2114612870137253,20383.0
66.0,1134,0.5925322130607894,1283,0.6703869747416162,1263,0.6599366711602972,191382,0.6409519529875677,55741.0,0.0546961875852929,0.6613720741237447,0.0550665133152003,0.0043454700516352,0.1857869106562131,0.1164091467398024,0.5144591673471322,0.0384353659584926,0.202228929164566,6016.666666666667
