precinct,jan,feb,march,april,may,june,july,aug,sept,oct,nov,dec
001,52,37,33,38,44,36,35,50,42,50,37,41
005,52,55,53,48,55,45,53,49,60,47,71,71
006,42,32,20,18,23,14,16,21,19,23,18,22
007,125,109,134,105,146,112,129,133,107,107,115,157
009,114,114,137,124,114,113,109,118,124,117,128,98
010,67,71,61,56,57,71,67,89,62,73,67,79
013,51,65,66,57,45,46,41,68,64,82,56,57
014,61,49,56,29,34,49,61,69,48,64,64,65
017,32,43,38,25,40,25,29,35,30,34,45,45
018,53,52,55,43,53,59,38,50,48,49,42,59
019,90,89,84,86,107,75,71,89,54,52,71,71
020,41,42,56,43,41,41,41,38,33,40,26,40
022,3,0,2,0,2,0,2,1,1,2,0,0
023,314,285,315,237,346,296,317,285,335,290,305,279
024,118,113,133,141,143,135,115,132,131,95,125,126
025,193,152,197,168,230,176,198,183,167,187,191,180
026,73,82,96,86,84,99,109,118,74,91,92,90
028,139,107,137,125,120,129,113,126,132,121,161,133
030,95,121,138,129,117,99,98,112,106,124,139,126
032,362,275,314,259,300,296,297,306,293,364,363,355
033,102,80,92,104,117,115,90,108,103,112,123,90
034,145,134,193,147,160,134,144,123,154,133,150,132
040,534,526,524,508,577,562,538,510,482,510,531,505
041,311,236,302,222,320,330,327,311,270,301,253,242
042,536,465,555,516,578,534,563,501,519,503,522,536
043,615,604,675,625,702,615,631,651,627,596,625,677
044,540,433,557,507,527,534,505,575,522,549,566,521
045,211,233,241,226,222,238,225,261,191,230,233,219
046,572,504,620,561,581,542,533,586,516,545,486,544
047,521,509,631,588,709,649,606,681,594,620,586,551
048,429,368,402,418,484,415,435,422,375,389,346,423
049,317,286,405,275,381,374,365,300,287,323,312,279
050,155,153,178,172,163,146,162,140,144,138,157,170
052,422,404,477,440,468,441,515,452,403,496,414,472
060,239,191,247,232,249,244,252,256,246,233,232,223
061,199,171,189,163,165,163,167,163,158,168,170,171
062,140,147,172,142,176,148,160,171,172,169,126,163
063,181,141,177,166,165,161,190,187,195,154,141,156
066,117,119,95,90,118,119,108,107,100,105,95,94
067,346,353,400,357,424,347,379,380,356,378,328,330
068,95,121,137,123,113,114,114,94,113,103,115,92
069,209,207,261,202,234,216,247,250,214,229,199,204
070,228,223,291,219,307,220,253,251,201,248,223,246
071,185,160,159,181,204,169,189,188,191,197,173,187
072,116,135,132,126,134,134,115,135,109,135,108,117
073,503,457,565,478,523,556,561,537,518,526,549,560
075,688,657,711,626,730,681,744,710,671,695,664,600
076,98,79,97,96,89,88,101,87,85,98,97,97
077,259,270,305,244,262,223,250,250,202,214,226,260
078,51,45,57,44,62,53,76,56,61,49,57,57
079,261,205,265,200,267,243,222,247,211,245,250,275
081,228,221,209,205,248,226,244,244,223,233,201,248
083,258,205,268,205,261,196,218,246,225,248,224,219
084,64,60,54,31,60,63,81,75,60,72,47,62
088,119,118,134,96,147,92,115,142,112,122,118,112
090,138,164,191,154,218,161,179,164,163,172,142,184
094,65,46,52,51,48,47,56,64,63,62,59,67
100,98,110,133,110,132,121,128,103,84,120,120,117
101,273,269,279,259,293,259,266,247,222,236,241,232
102,220,206,260,222,258,250,249,239,198,216,233,224
103,322,264,319,261,343,278,332,320,278,275,271,329
104,203,213,237,226,220,214,220,220,207,233,232,190
105,346,281,332,273,319,299,312,313,306,300,329,305
106,221,198,240,232,240,254,276,259,250,233,268,231
107,181,192,193,194,184,180,176,186,171,186,172,213
108,138,126,154,118,156,117,138,128,133,142,122,130
109,212,180,238,243,235,235,232,250,189,183,175,199
110,176,187,205,153,215,193,197,223,183,202,185,205
111,45,49,62,66,71,56,66,59,44,72,47,57
112,89,60,75,100,94,86,102,79,83,81,75,78
113,299,303,343,324,326,331,371,348,271,287,293,282
114,279,267,293,272,338,291,305,290,298,299,283,294
115,197,178,225,211,273,237,238,228,186,225,201,217
120,362,276,342,290,367,345,331,358,376,361,341,346
121,211,185,240,191,230,214,191,225,216,212,215,238
122,185,184,191,183,177,225,190,189,180,178,221,178
123,84,75,106,82,85,79,69,115,80,74,92,68
Total,16415,15126,17612,15567,17850,16473,16988,17076,15721,16427,16080,16312
