,precinct,avg_median_income,avg_unemployment_rate,avg_white_frac,avg_black_frac,avg_native_frac,avg_asian_frac,avg_single_frac,avg_liveswspouse_frac,avg_liveswunmarried_frac,avg_bachelors_frac,avg_blacks_1990,avg_population
0,113.0,73639.0,0.1656947227863274,0.06944585697508421,0.760327130527569,0.002520631815711016,0.04416482962689658,0.0894655565577215,0.2932534628770162,0.02780395096809621,0.12108002401816595,23552.0,30383.5
1,77.0,68338.5,0.06682156174291645,0.3709845692966155,0.49657907843551385,0.0014583519981039403,0.04144925099112903,0.17980265441834747,0.2953083648684626,0.08279026056320021,0.265704045269081,43201.0,61133.0
2,73.0,26521.0,0.15153240061116272,0.08443885986376562,0.7983069902784208,0.0009126380530388202,0.011176509490113088,0.27938740951636615,0.1863078955693258,0.03403487225292618,0.10593453249682519,77898.0,75605.0
3,71.0,59820.0,0.06552228794438686,0.2848801421059111,0.6091032202465748,0.0023215322112594312,0.028350832761743962,0.1779167472546365,0.2609331012399802,0.09116111146927987,0.24241199819361586,58361.0,56859.0
4,66.0,55741.0,0.05469618758529291,0.6613720741237447,0.05506651331520032,0.004345470051635297,0.1857869106562131,0.11640914673980247,0.5144591673471322,0.03843536595849264,0.20222892916456603,6016.666666666667,82641.0
5,70.0,58257.0,0.05655993199206574,0.15992687679543582,0.679814781333494,0.00297314128447739,0.030856385222684263,0.1531765504280643,0.27415692211317605,0.0597984965546043,0.19212778590358132,92693.0,99558.0
7,63.0,77596.0,0.058710787341095416,0.3644904857776776,0.5197201858533232,0.0020224726897811914,0.05655645685367275,0.10058486892821379,0.4222169609134194,0.032245770946232946,0.21146128701372535,20383.0,79099.5
9,62.0,54675.666666666664,0.06289052944276975,0.5384274701796633,0.026311225574245378,0.0031330789384888084,0.31703936608982414,0.0966963760061465,0.4808342284685358,0.03930658439674057,0.19917661001142384,1836.0,83475.66666666667
10,50.0,60835.5,0.07608216448957518,0.4427469882760303,0.1724534215266375,0.00581152423901398,0.03942558595570706,0.18775653022930253,0.35851105963340146,0.06052555623064469,0.18554535215626294,11380.25,60891.75
11,47.0,53010.333333333336,0.08809393694890044,0.26079337113024,0.4992830203690674,0.006193559330680429,0.03861821228086276,0.15312855169407313,0.28361124273041255,0.05171095723786568,0.16089109578928687,23260.333333333332,64003.333333333336
15,45.0,83333.2,0.059059094934336656,0.5580164133957153,0.1554106530648604,0.002530459519984203,0.04052327512384651,0.15938679783296017,0.3539785848748617,0.08862622156802877,0.19597509163935348,4119.4,20016.4
17,49.0,59327.333333333336,0.07933765972335108,0.29789060133790457,0.3156079131736798,0.007892435626292927,0.10683376132695849,0.13822769988310854,0.33571090739586595,0.053006130550709706,0.16787905705851958,14477.0,65929.33333333333
20,48.0,30911.666666666668,0.12126234401579185,0.17781342816127646,0.327811987614907,0.0046102328657928755,0.01831777378698678,0.1406254826133167,0.23559540125445969,0.06799396936804401,0.09337291073292575,20318.0,73291.33333333333
21,34.0,55725.333333333336,0.07863367648649865,0.39123492743864635,0.11370130950902609,0.007490348631072078,0.027448464842915955,0.14946841722364196,0.2612753896666287,0.04860855917704839,0.21845699177140263,8189.0,48516.0
25,46.0,29136.0,0.12986337376447718,0.09541583043712369,0.3360541387243624,0.005604777522149885,0.014856331685349259,0.13660208798628784,0.21844214754410568,0.053619349365466855,0.0985254421659079,36606.0,81716.0
32,33.0,53525.0,0.07445094775277883,0.29052108710095864,0.19111272819312178,0.007181953364760971,0.04578099788021641,0.1256387932013476,0.1817768860960745,0.05203088920013627,0.1977099556225404,23203.0,63214.0
33,44.0,29964.0,0.08696009626224269,0.13928848558940393,0.36173218550285935,0.003512076366074806,0.015229973485768834,0.1864123598901321,0.22986179582950916,0.0585843683935038,0.12362179739909236,23884.0,61794.0
34,42.0,27917.0,0.1355619308968442,0.12519818372035332,0.46311895337424636,0.013136749463420947,0.006633087783254419,0.13896220848989224,0.22216874204266684,0.04291525634257678,0.09746055970612766,45876.0,92717.0
35,43.0,37503.0,0.09233370828215676,0.2451399170301,0.3344318716121098,0.008163951323874506,0.04837474087091734,0.1259601450060916,0.2547524052293071,0.05283422533303529,0.11617862893006532,24162.0,63763.5
36,30.0,53660.0,0.06600289942285073,0.314268452321015,0.28025039438794347,0.0045648306649212905,0.04175477461148592,0.14863660305498155,0.21018192131599206,0.06126169928284916,0.2109949317382768,34025.0,59586.0
37,32.0,43629.666666666664,0.11725447955420681,0.13584879357584453,0.6529822464317732,0.00289093096091462,0.02216924929891188,0.2481421349095457,0.19201851929296523,0.053776864963485764,0.19424842955220356,18988.333333333332,26458.666666666668
38,41.0,26124.5,0.10956553241809956,0.11120542063865502,0.37356374594208214,0.005753970237789249,0.0036297212877703946,0.1396107204837068,0.19708630162849816,0.08263033537451778,0.10414600949527916,12010.5,30479.5
42,26.0,51938.0,0.06007250129466598,0.3192127777435834,0.3772234874130609,0.006108820089862744,0.09463285529636241,0.1909240638002774,0.2386009015256588,0.0701499653259362,0.2367825403254628,33214.0,32494.0
44,40.0,25016.0,0.12957416282283574,0.15244704448356827,0.3178787435353787,0.011305880275707376,0.006071034017812784,0.1728311557122601,0.20170417361186832,0.06519258755881152,0.08092948523885003,11645.5,39581.5
46,24.0,117623.5,0.0405279891158171,0.7427166278047216,0.078926754117347,0.0019752774244473875,0.08820795797787734,0.24705539659704567,0.43696224398009514,0.060801397520738876,0.32147292771518954,12789.0,75176.5
48,28.0,59691.0,0.06159882758946721,0.2802384346248542,0.5124011921731243,0.0019178437216534922,0.06282234028767655,0.1981716405551323,0.2235103176443311,0.08177933821337485,0.23153006239364718,25127.0,38585.0
49,25.0,29799.0,0.08923156332666624,0.20949844651575678,0.40171438082556593,0.005437194851309365,0.04172214824678207,0.26554082451381195,0.1770144805715814,0.06602223665609598,0.16275514104426267,15416.0,36048.0
50,1.0,173781.72727272726,0.03159335307739528,0.7038716765497376,0.03730510105629707,0.0012903685995075394,0.20777728390675554,0.2288132941306368,0.4146000544179662,0.06228869014932398,0.3951208458663827,615.2,9227.307692307691
52,109.0,63813.5,0.041195360083666456,0.38503224044911577,0.019238683944532712,0.002691566035274017,0.46125901543228376,0.11697126556457745,0.4754376411559154,0.025184252148087182,0.18484917833673786,1562.857142857143,36148.71428571428
53,23.0,33720.0,0.09699361031771739,0.34870230599767965,0.3271674944272809,0.006374408509639827,0.09203133758293901,0.22611630321910695,0.23418137763932156,0.036344755970924195,0.17739328833539308,31813.0,76713.0
54,22.0,,,,,,,,,,,,
58,114.0,77423.83333333333,0.05154883888908629,0.5760174722183972,0.08156367577493757,0.002899103807084204,0.19883583771096006,0.1644246081688625,0.3810802234291481,0.06331937644822871,0.2804075112719228,1992.6666666666667,30739.166666666668
